weight_decay,stride_pool,stride_conv,patience_lr,output_dim,nesterov,momentum,max_epoch,learning_rate,kernel_size_pool,kernel_size_conv,input_dim,hidden_layers_size,filters,early_stopping,dropout_rate,batch_size,batch_normalization,activation,val_accuracy,train_accuracy
0.001,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",5,13,True,0.85,100,0.001,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,1000,"[80, 80]",True,0.5,256,False,relu,80.71640114379085,78.78289473684211
0.001,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",10,13,True,0.9,100,0.001,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,5000,"[80, 80]",True,0.5,256,False,relu,87.72518382352942,92.56441885964912
0.002,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",10,13,True,0.85,100,0.002,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,5000,"[80, 80]",True,0.5,256,False,relu,88.87152777777779,95.81277412280701
0.002,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",10,13,True,0.95,100,0.005,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,5000,"[80, 80]",True,0.5,32,False,relu,89.66216216216216,97.10884353741497
0.002,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",5,13,True,0.9,100,0.002,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,1000,"[80, 80]",True,0.5,256,False,relu,91.66156045751634,96.38843201754385
0.002,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",15,13,True,0.85,100,0.005,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,1000,"[80, 80]",True,0.5,256,False,relu,92.15584150326796,97.77960526315789
0.002,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",10,13,True,0.9,100,0.002,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,1000,"[80, 80]",True,0.5,128,False,relu,92.8625,98.14893018018017
0.002,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",15,13,True,0.85,100,0.002,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,5000,"[80, 80]",True,0.5,128,False,relu,93.096875,98.85979729729729
0.002,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",10,13,True,0.9,100,0.001,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,5000,"[80, 80]",True,0.5,64,False,relu,93.28289473684211,99.64104729729729
0.001,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",10,13,True,0.9,100,0.001,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,1000,"[80, 80]",True,0.5,64,False,relu,93.48355263157895,98.03631756756756
0.002,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",5,13,True,0.95,100,0.002,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,5000,"[80, 80]",True,0.5,128,False,relu,93.565625,99.68327702702703
0.002,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",15,13,True,0.9,100,0.001,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,1000,"[80, 80]",True,0.5,64,False,relu,93.61184210526316,98.26858108108108
0.002,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",10,13,True,0.9,100,0.005,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,1000,"[80, 80]",True,0.5,256,False,relu,93.90165441176471,98.58826754385964
0.002,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",10,13,True,0.95,100,0.002,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,1000,"[80, 80]",True,0.5,256,False,relu,93.92871732026144,98.7733004385965
0.001,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",15,13,True,0.95,100,0.002,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,5000,"[80, 80]",True,0.5,32,False,relu,94.46283783783784,99.76615646258503
0.001,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",15,13,True,0.85,100,0.002,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,5000,"[80, 80]",True,0.5,64,False,relu,94.48026315789474,99.85219594594595
0.001,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",5,13,True,0.9,100,0.002,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,5000,"[80, 80]",True,0.5,64,False,relu,94.51644736842105,99.8733108108108
0.001,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",5,13,True,0.95,100,0.005,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,5000,"[80, 80]",True,0.5,128,False,relu,94.590625,99.85219594594595
0.002,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",15,13,True,0.95,100,0.005,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,5000,"[80, 80]",True,0.5,64,False,relu,95.25657894736842,99.74662162162163
0.001,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",15,13,True,0.95,100,0.005,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,5000,"[80, 80]",True,0.5,64,False,relu,95.25657894736842,99.85219594594595
